CAM_ID,Species,Date,Time,Latitude,Longitude,,,,,,
A1,Jungle cat,07-06-2024,01:25:16,28.44228,77.23447,,,,,,
A1,Jungle cat,06-06-2024,04:15:10,28.44228,77.23447,,,,,,
A1,Jungle cat,06-06-2024,04:15:10,28.44228,77.23447,,,,,,
A1,Jungle cat,07-06-2024,05:15:10,28.44228,77.23447,,,,,,
A10,Jungle cat,06-06-2024,04:15:10,28.45882,77.22956,,,,,,
A10,Jungle cat,07-06-2024,01:25:16,28.45882,77.22956,,,,,,
A10,Jungle cat,06-06-2024,04:15:10,28.45882,77.22956,,,,,,
A10,Jungle cat,07-06-2024,05:15:10,28.45882,77.22956,,,,,,
